step,mode,ic_seed,reward,cum_reward,dose,cum_dose,number_tumor,action_dose
24,POMDP,1000,0.5612528144855435,4.259966471991751,0.004586174945201763,0.0794575665438016,116,0.1456202268600464
25,POMDP,1000,-0.5837976500527003,3.6761688219390507,0.004227513681583784,0.08368508022538537,117,0.13423201441764832
26,POMDP,1000,1.1316779788614906,4.807846800800541,0.004586174945201763,0.08827125517058713,115,0.1456202268600464
27,POMDP,1000,0.5724554816621178,5.380302282462659,0.003945060177575013,0.09221631534816215,114,0.12329089641571045
28,POMDP,1000,1.1639497232569,6.544252005719559,0.003461491283706046,0.09567780663186819,112,0.10733327269554138
29,POMDP,1000,1.1873231702771732,7.731575175996732,0.0022289883612865583,0.09790679499315474,110,0.0685802698135376
30,POMDP,1000,-0.002826029661471251,7.728749146335261,0.0014130148307356255,0.09931980982389037,110,0.04712820053100586
31,POMDP,1000,2.424073760592558,10.152822906927819,0.0014130148307356255,0.10073282465462599,106,0.04712820053100586
32,POMDP,1000,1.255920222894637,11.408743129822456,0.0016601171563211691,0.10239294181094716,104,0.05990004539489746
33,POMDP,1000,0.6375623725474107,12.046305502369867,0.0020829686877648817,0.10447591049871204,103,0.08026507496833801
34,POMDP,1000,1.9397295226459914,13.986035025015859,0.002073261472913954,0.10654917197162599,100,0.08396708965301514
35,POMDP,1000,0.6631746448013536,14.649209669817212,0.00211139875925227,0.10866057073087826,99,0.09010905027389526
36,POMDP,1000,-0.0036478648110041543,14.645561805006208,0.0018239324055020771,0.11048450313638034,99,0.08618080615997314
37,POMDP,1000,1.3446297964412341,15.990191601447442,0.0018239324055020771,0.11230843554188241,97,0.08618080615997314
38,POMDP,1000,0.6848218433897725,16.675013444837216,0.0016083784699890528,0.11391681401187147,96,0.08080574870109558
39,POMDP,1000,2.0828310167716864,18.7578444616089,0.001392995238934875,0.11530980925080635,93,0.07898283004760742
40,POMDP,1000,-0.0024361130151438694,18.755408348593757,0.0012180565075719347,0.11652786575837829,93,0.07324948906898499
41,POMDP,1000,-1.437699429832043,17.317708918761713,0.0012180565075719347,0.11774592226595022,95,0.07324948906898499
42,POMDP,1000,0.6999951060849501,18.017704024846665,0.0012642587048186256,0.11901018097076885,94,0.07719758152961731
43,POMDP,1000,0.7075297772724626,18.725233802119128,0.001233750895608069,0.12024393186637691,93,0.07533472776412964
44,POMDP,1000,0.7152693669998252,19.44050316911895,0.001181145704312179,0.12142507757068909,92,0.07324948906898499
45,POMDP,1000,-1.453022866880439,17.987480302238513,0.0010794309186346737,0.12250450848932376,94,0.0702337920665741
46,POMDP,1000,-0.002467501791216138,17.985012800447297,0.001233750895608069,0.12373825938493183,94,0.07533472776412964
47,POMDP,1000,1.4175270563361413,19.402539856783438,0.001233750895608069,0.12497201028053989,92,0.07533472776412964
48,POMDP,1000,-0.0021588618372693474,19.40038099494617,0.0010794309186346737,0.12605144119917455,92,0.0702337920665741
49,POMDP,1000,1.4487051432059002,20.849086138152067,0.0010794309186346737,0.1271308721178092,90,0.0702337920665741
50,POMDP,1000,-0.0019211779015585048,20.84716496025051,0.0009605889507792524,0.12809146106858846,90,0.06461995840072632
51,POMDP,1000,-0.7434738915902896,20.10369106866022,0.0009605889507792524,0.1290520500193677,91,0.06461995840072632
52,POMDP,1000,-0.0021029738101589197,20.101588094850058,0.0010514869050794599,0.13010353692444715,91,0.06731212139129639
53,POMDP,1000,0.7313008089589158,20.832888903808975,0.0010514869050794599,0.1311550238295266,90,0.06731212139129639
