metric,pair,action,direction,seed,image,scalar,delta
td_residual,P2,full,rect2net,2,2.6553197786808016,88.16434210205077,-1.7513187526608898
td_residual,P2,full,rect2net,3,6.518315021276474,100.29882124328614,-1.3667690161845034
td_residual,P2,full,rect2net,4,3.4767408044338226,86.94926462554932,-1.6096147394125473
td_residual,P2,full,rect2net,5,4.145606829404832,117.62026372528078,-1.672706076499594
q_mae,P2,full,rect2net,1,44.11553998726939,45.927375503827896,-0.04024925444142058
q_mae,P2,full,rect2net,2,39.18221829500737,53.64839160150702,-0.31422846019990347
q_mae,P2,full,rect2net,3,57.30281960137563,49.35097014443865,0.14939240607805448
q_mae,P2,full,rect2net,4,58.4318272305717,27.228681206521383,0.7635898543319484
q_mae,P2,full,rect2net,5,51.778235807984956,43.55975723060317,0.1728361779965102
td_residual,P3,full,rect2net,1,1.784570368528366,68.02162320709229,-1.820323973303529
td_residual,P3,full,rect2net,2,1.874752458810806,75.35159419250488,-1.8468442266380893
td_residual,P3,full,rect2net,3,3.7471684563159946,94.08881681060792,-1.6116193597035078
td_residual,P3,full,rect2net,4,5.250143171906472,165.9105673828125,-1.7265967727006348
td_residual,P3,full,rect2net,5,6.866778905034065,102.10607201385497,-1.349658531128791
q_mae,P3,full,rect2net,1,29.603122326336283,61.50114806948009,-0.7311760026698386
q_mae,P3,full,rect2net,2,33.55094133406565,59.06327702832258,-0.5655444405311689
q_mae,P3,full,rect2net,3,48.871077844959295,51.93831700946002,-0.060871036730385075
q_mae,P3,full,rect2net,4,51.269611470389535,52.54318732192841,-0.024537239431902336
q_mae,P3,full,rect2net,5,46.596823290615234,38.91111260159909,0.18025248825817508
td_residual,P1,targeted,net2rect,1,2.7334372363090518,52.70257842254639,-1.479552251305539
td_residual,P1,targeted,net2rect,2,1.3025398195385935,26.333524126052858,-1.5032633716325041
td_residual,P1,targeted,net2rect,3,3.041669299244881,636.5784108581543,-2.671850562384846
td_residual,P1,targeted,net2rect,4,5.598629876971246,82.19637693214415,-1.3432946609301206
td_residual,P1,targeted,net2rect,5,1.5775974581241607,61.30293791389465,-1.8299623374877978
q_mae,P1,targeted,net2rect,1,16.967880695054642,21.010228488317342,-0.21368720395061214
q_mae,P1,targeted,net2rect,2,15.511027361105985,26.068490755960568,-0.5191761206631247
q_mae,P1,targeted,net2rect,3,16.191884899273198,79.97402546952465,-1.597191715736161
q_mae,P1,targeted,net2rect,4,18.249018939982506,40.27451000453097,-0.7916074408749596
q_mae,P1,targeted,net2rect,5,15.254413421459304,26.824056174764195,-0.5644302374898058
td_residual,P2,targeted,net2rect,1,5.567368883609772,31.839787324905398,-0.871897055952342
td_residual,P2,targeted,net2rect,2,2.8928814597129824,52.54384434509278,-1.449697450582167
td_residual,P2,targeted,net2rect,3,7.232365460634232,22.23160503387451,-0.5614743854919567
td_residual,P2,targeted,net2rect,4,3.3791584217548376,27.664129940032957,-1.051254967582236
td_residual,P2,targeted,net2rect,5,2.8690319410562517,35.1844257774353,-1.253314432542705
q_mae,P2,targeted,net2rect,1,22.622433940616716,18.162460358509115,0.21958521987147295
q_mae,P2,targeted,net2rect,2,15.332809119847443,22.787644876177914,-0.3962235782879526
q_mae,P2,targeted,net2rect,3,20.59998929925004,23.667905413178666,-0.13882937206383872
q_mae,P2,targeted,net2rect,4,13.815578071499285,24.094781984509172,-0.5561985006315338
q_mae,P2,targeted,net2rect,5,13.661972064278748,26.026397242445928,-0.6444950899982169
td_residual,P3,targeted,net2rect,1,2.1405124261379247,147.26460762405392,-2.1155928843275427
td_residual,P3,targeted,net2rect,2,3.064371806144714,18.37446365261078,-0.8955596322649605
td_residual,P3,targeted,net2rect,3,2.401881578087807,21.328440320968625,-1.091894493683221
td_residual,P3,targeted,net2rect,4,5.178903369307518,231.72116986083984,-1.9004707328602737
td_residual,P3,targeted,net2rect,5,3.8361478580236428,146.70245600891113,-1.8219688627981347
q_mae,P3,targeted,net2rect,1,14.717676048237621,34.049674725473935,-0.8387712560213254
q_mae,P3,targeted,net2rect,2,13.941913261475582,17.590145960620696,-0.2324392109851927
q_mae,P3,targeted,net2rect,3,20.650687102458136,18.976582951331817,0.08454284978299142
