metric,pair,content,direction,seed,image,scalar,delta
train_return,P2,cells + M1/M2,rect2net,2,29.738094062538885,55.220211182681226,-25.48211712014234
train_return,P2,cells + M1/M2,rect2net,4,37.77277836166414,27.82203492442204,9.950743437242096
train_return,P2,cells + M1/M2,rect2net,5,48.56715684958321,65.25274178341999,-16.68558493383678
gap,P2,cells + M1/M2,rect2net,1,9.322397609428165,69.30432844882513,-59.981930839396966
gap,P2,cells + M1/M2,rect2net,2,-2.2135672824356334,51.93314455898522,-54.14671184142085
gap,P2,cells + M1/M2,rect2net,4,8.576906639313968,27.665811813523238,-19.08890517420927
gap,P2,cells + M1/M2,rect2net,5,8.54629663092659,61.90011460547432,-53.35381797454773
td_residual,P2,cells + M1/M2,rect2net,1,0.9108171067833901,24.48193904685974,-1.6456744133777095
td_residual,P2,cells + M1/M2,rect2net,2,0.9141714824438095,34.96031945800782,-1.8219753980665054
td_residual,P2,cells + M1/M2,rect2net,4,1.1525546904206276,431.7206958618164,-2.9628989466508986
td_residual,P2,cells + M1/M2,rect2net,5,1.1726559599637985,124.51862820434569,-2.3325920507281905
q_mae,P2,cells + M1/M2,rect2net,1,9.724749149583378,13.40035751488339,-0.3206072920316174
q_mae,P2,cells + M1/M2,rect2net,2,13.354301100293872,15.984651168141351,-0.17979044706919334
q_mae,P2,cells + M1/M2,rect2net,4,10.405689536954734,82.30942999817303,-2.068132954479243
q_mae,P2,cells + M1/M2,rect2net,5,15.077503418067693,26.635253215116894,-0.5690318541371719
test_return,P3,cells + substrates + M1/M2,rect2net,1,20.249105806769155,1.5414804402167515,18.707625366552403
test_return,P3,cells + substrates + M1/M2,rect2net,2,39.03527063960696,-8.510071320641,47.54534196024797
test_return,P3,cells + substrates + M1/M2,rect2net,4,46.269638779884836,3.0395216614670044,43.23011711841783
test_return,P3,cells + substrates + M1/M2,rect2net,5,24.60718137447868,24.934958397956645,-0.3277770234779638
train_return,P3,cells + substrates + M1/M2,rect2net,1,25.784076132977763,34.15826016443515,-8.374184031457386
train_return,P3,cells + substrates + M1/M2,rect2net,2,46.361408808859984,16.492441554336448,29.868967254523536
train_return,P3,cells + substrates + M1/M2,rect2net,4,49.68385552284544,18.603962569419497,31.079892953425944
train_return,P3,cells + substrates + M1/M2,rect2net,5,37.74247788019293,92.25076846160675,-54.508290581413824
gap,P3,cells + substrates + M1/M2,rect2net,1,5.534970326208608,32.6167797242184,-27.08180939800979
gap,P3,cells + substrates + M1/M2,rect2net,2,7.326138169253021,25.002512874977448,-17.676374705724427
gap,P3,cells + substrates + M1/M2,rect2net,4,3.4142167429606047,15.564440907952493,-12.150224164991888
gap,P3,cells + substrates + M1/M2,rect2net,5,13.135296505714248,67.3158100636501,-54.18051355793585
td_residual,P3,cells + substrates + M1/M2,rect2net,1,0.8559370759129525,332.93028430175787,-2.9817457633004887
