action_repeat,delta_x,delta_y,delta_radius,name,w_cell,w_dose,w_smooth,tumor_reduction,tumor_reduction_lo,tumor_reduction_hi,total_dose,total_dose_lo,total_dose_hi,smooth_cost,smooth_cost_lo,smooth_cost_hi,n_episodes,objective
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,0.3,1.0,0.1,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,0.3,2.0,0.02,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,1.0,2.0,0.1,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,1.0,2.0,0.02,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,1.0,2.0,0.0,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,1.0,1.0,0.1,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,1.0,1.0,0.02,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,1.0,1.0,0.0,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,0.5,2.0,0.02,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
8,0.09868130900537214,0.2671361481057536,0.03229138178772853,lhs_017,0.5,2.0,0.1,-44.833333333333336,-71.75,-18.662500000000023,5.654161853099134,5.168564293849757,6.157368475655607,12.550473225613432,11.768237412036006,13.363698945307014,12,0.013996260852918165
